pair,village,geo_x,geo_y,n_observations,first_endpoint,second_endpoint,midpoint,separation_change
oː->ɑː,vilhelmina,152.0,178.0,1,9.099267344757482,7.254442352459058,8.176854848608272,-1.844824992298424
oː->ɑː,villberga,166.0,379.0,3,-16.362422136451723,-15.172064980482038,-15.774034053015527,1.17677616687239
uː->oː,ankarsrum,149.0,456.0,3,11.5599449049681,-0.6975795198203232,6.919089131082982,-12.70032598472547
uː->oː,anundsjo,182.0,230.0,3,-6.482729087258157,-7.215674677343468,-9.020060026545318,7.382974850142565
uː->oː,are,89.0,227.0,3,-10.302335175180719,-8.383148602577485,-7.574674564659142,3.4028211325867
uː->oː,arjeplog,171.0,122.0,3,-7.775739664676058,2.4974315214136187,-1.8467229318157994,10.273171186089677
uː->oː,arstad,70.0,485.0,3,6.381855449297074,-5.6368619940172735,0.3724967276399005,-12.018717443314348
uː->oː,arsunda,156.0,343.0,3,1.6768241319055381,6.230710593840961,3.9537673628732493,4.55388646193542
uː->oː,asby,125.0,446.0,3,13.508069951037793,3.09347714895273,8.300773549995261,-14.480608532969825
uː->oː,aspas,112.0,229.0,2,-9.345985234745095,-6.408700076306374,-7.8773426555257355,2.937285158438721
uː->oː,bara,79.0,539.0,3,5.425216108839903,10.182219553963058,7.803717831401481,5.489710463689631
uː->oː,bengtsf,62.0,401.0,3,-3.5511255869421046,-3.6366231939663907,-3.593874390454247,-0.0854976070242861
uː->oː,berg,112.0,252.0,3,-7.0201250560190225,0.07041218517806737,-1.1347431747594559,2.4395262071955397
uː->oː,bjurholm,197.0,211.0,3,2.6968754844167755,1.701842015601378,2.38144276783498,-0.2788346374066242
uː->oː,boda,163.0,475.0,1,7.003949059909018,1.4848208844838455,4.244384972196432,-5.5191281754251715
uː->oː,borga,337.0,331.0,1,3.9285640228724263,5.455535529319626,4.692049776096026,1.5269715064471985
uː->oː,brando,237.0,337.0,3,-3.3641044043114485,6.813408093635276,0.6758305526576756,11.805085046594105
uː->oː,bredsattra,158.0,489.0,3,6.710988754002319,3.640320653780578,5.175654703891449,2.98888211524649
uː->oː,broby,99.0,510.0,2,-9.647278414598514,2.42616091280037,-3.6105587508990706,12.073439327398882
uː->oː,burseryd,84.0,478.0,2,1.8662644733722888,3.1388454365585297,2.50255495496541,1.272580963186241
uː->oː,burtrask,222.0,177.0,3,4.497236209447028,3.8441621594591093,4.349753894620147,1.1241721547013448
uː->oː,dalby,82.0,336.0,2,-5.162492220737856,-2.134068605954444,-3.64828041334615,3.028423614783412
uː->oː,dragsfjard,272.0,350.0,3,-7.816786751482801,-0.7561231290025167,-8.447710668171284,15.38317507833753
uː->oː,faro,208.0,445.0,3,17.399891008579,0.65986018113474,9.029875594856868,-16.740030827444258
uː->oː,floby,85.0,439.0,3,-5.854616877690268,-7.476784720736944,-6.8796820656784545,-1.1942053101169803
uː->oː,frandef,63.0,423.0,3,4.720087490625598,-4.553576278953003,0.08325560583629806,-2.981339196432783
uː->oː,frillesas,58.0,470.0,2,5.16171830408632,0.2098840497112313,2.6858011768987757,-4.95183425437509
uː->oː,grangarde,119.0,354.0,1,1.5054887194249367,0.9322874677236135,1.2188880935742752,-0.5732012517013221
uː->oː,graso,189.0,350.0,3,-4.690123634297066,-9.304664677452548,-8.054163660186632,-4.61454104315548
uː->oː,hammaro,90.0,391.0,3,9.328419843079944,0.1631365822075215,5.482275808822295,6.1061541582696
uː->oː,hamneda,93.0,496.0,3,13.38673398179224,11.404800921675522,12.526539541211923,5.9656274114684
uː->oː,haraker,149.0,373.0,3,-4.1201141621369795,1.8028338365602241,-0.03523063479990931,3.746292870224849
uː->oː,houtskar,245.0,347.0,1,1.8803266155472078,14.295762124307956,8.088044369927582,12.415435508760748
uː->oː,jamshog,108.0,514.0,3,1.3580594265116508,13.360404476792503,4.255547122306669,4.333456179184026
uː->oː,jarnboas,117.0,378.0,3,8.814788333402491,-6.678800544568565,1.0679938944169627,-15.493588877971055
