method,grouping,village,speaker,pair,first_vowel,second_vowel,display_x,display_y,geo_x,geo_y
pca,village,graso,,oː->ɑː,oː,ɑː,35.71626366758156,-5.270366923769494,189.0,350.0
pca,village,graso,,ɑː->æː,ɑː,æː,2.001604724744144,-5.6118000653002635,189.0,350.0
pca,village,graso,,æː->eː,æː,eː,-13.969743152064774,9.694535319471251,189.0,350.0
pca,village,graso,,yː->ʉ̟ː,yː,ʉ̟ː,10.282986694152473,21.97615907079522,189.0,350.0
pca,village,graso,,ʉ̟ː->øː,ʉ̟ː,øː,4.048182623969998,2.272257486086378,189.0,350.0
pca,village,hammaro,,uː->oː,uː,oː,31.437634840991816,-4.416547467823166,90.0,391.0
pca,village,hammaro,,oː->ɑː,oː,ɑː,22.52503074975526,-16.70854044811892,90.0,391.0
pca,village,hammaro,,ɑː->æː,ɑː,æː,-8.100536153545093,-22.556599320624777,90.0,391.0
pca,village,hammaro,,æː->eː,æː,eː,-17.705273849946295,-6.974726650723101,90.0,391.0
pca,village,hammaro,,yː->ʉ̟ː,yː,ʉ̟ː,-13.495944293602204,12.402295248049093,90.0,391.0
pca,village,hammaro,,ʉ̟ː->øː,ʉ̟ː,øː,-6.228001562934807,-5.133285916763219,90.0,391.0
pca,village,hamneda,,uː->oː,uː,oː,19.565761630223243,-13.28829913000886,93.0,496.0
pca,village,hamneda,,oː->ɑː,oː,ɑː,14.745217487959874,-21.395748851235552,93.0,496.0
pca,village,hamneda,,ɑː->æː,ɑː,æː,-10.0926558138978,-15.929802108509271,93.0,496.0
pca,village,hamneda,,æː->eː,æː,eː,-23.288357069540325,2.5624391750802054,93.0,496.0
pca,village,hamneda,,yː->ʉ̟ː,yː,ʉ̟ː,-14.81716548789205,19.337922147807333,93.0,496.0
pca,village,hamneda,,ʉ̟ː->øː,ʉ̟ː,øː,-16.071236570151708,7.565628606024152,93.0,496.0
pca,village,haraker,,uː->oː,uː,oː,38.00365523675125,2.3532317213814915,149.0,373.0
pca,village,haraker,,oː->ɑː,oː,ɑː,31.393615495124294,-12.533392231539121,149.0,373.0
pca,village,haraker,,ɑː->æː,ɑː,æː,9.901103498961142,-19.970427578977226,149.0,373.0
pca,village,haraker,,æː->eː,æː,eː,-9.015116061415835,-6.1671116813577,149.0,373.0
pca,village,haraker,,yː->ʉ̟ː,yː,ʉ̟ː,8.31432854744013,14.567084352011612,149.0,373.0
pca,village,haraker,,ʉ̟ː->øː,ʉ̟ː,øː,5.51347922939005,-0.4991385605813452,149.0,373.0
pca,village,houtskar,,uː->oː,uː,oː,36.599596344315444,-6.954928027902582,245.0,347.0
pca,village,houtskar,,oː->ɑː,oː,ɑː,14.851354668549474,-21.67690126674717,245.0,347.0
pca,village,houtskar,,ɑː->æː,ɑː,æː,-14.931115084104034,-18.659842755485247,245.0,347.0
pca,village,houtskar,,æː->eː,æː,eː,-29.155780370373037,-6.406045559107582,245.0,347.0
