village,vowel,n_speakers,geo_x,geo_y,display_x,display_y,geo_position,geographic_group
nora,ɑː,3,160.0,357.0,-1009.0,-555.0,357.0,
nora,ʉ̟ː,3,160.0,357.0,-1674.5,-353.5,357.0,
nysatra,eː,3,228.0,188.0,-1768.0,-520.0,188.0,
nysatra,oː,3,228.0,188.0,-753.0,-509.0,188.0,
nysatra,uː,3,228.0,188.0,-847.0,-383.0,188.0,
nysatra,yː,3,228.0,188.0,-2056.0,-399.0,188.0,
nysatra,æː,3,228.0,188.0,-1609.5,-704.0,188.0,
nysatra,øː,3,228.0,188.0,-1561.0,-525.0,188.0,
nysatra,ɑː,3,228.0,188.0,-999.0,-635.5,188.0,
nysatra,ʉ̟ː,3,228.0,188.0,-1629.0,-391.0,188.0,
ockelbo,eː,3,156.0,328.0,-1917.0,-479.0,328.0,
ockelbo,oː,3,156.0,328.0,-781.0,-452.0,328.0,
ockelbo,uː,3,156.0,328.0,-802.0,-407.0,328.0,
ockelbo,yː,3,156.0,328.0,-1940.0,-363.0,328.0,
ockelbo,æː,3,156.0,328.0,-1625.0,-653.0,328.0,
ockelbo,øː,3,156.0,328.0,-1517.0,-538.0,328.0,
ockelbo,ɑː,3,156.0,328.0,-1017.0,-572.0,328.0,
ockelbo,ʉ̟ː,3,156.0,328.0,-1651.0,-384.0,328.0,
orust,eː,3,49.0,436.0,-1963.5,-446.5,436.0,
orust,oː,3,49.0,436.0,-745.0,-442.0,436.0,
orust,uː,3,49.0,436.0,-775.5,-376.0,436.0,
orust,yː,3,49.0,436.0,-1630.0,-397.0,436.0,
orust,æː,3,49.0,436.0,-1871.0,-541.0,436.0,
orust,øː,3,49.0,436.0,-1609.0,-486.0,436.0,
orust,ɑː,3,49.0,436.0,-847.5,-531.5,436.0,
orust,ʉ̟ː,3,49.0,436.0,-1973.0,-364.0,436.0,
ossjo,eː,3,74.0,515.0,-2062.0,-462.0,515.0,
ossjo,oː,3,74.0,515.0,-1045.0,-479.0,515.0,
ossjo,uː,3,74.0,515.0,-1504.0,-359.0,515.0,
ossjo,yː,3,74.0,515.0,-1945.0,-373.0,515.0,
ossjo,æː,3,74.0,515.0,-1712.0,-668.0,515.0,
ossjo,øː,3,74.0,515.0,-1440.5,-442.5,515.0,
ossjo,ɑː,3,74.0,515.0,-998.0,-527.0,515.0,
ossjo,ʉ̟ː,3,74.0,515.0,-1478.0,-332.0,515.0,
ostad,eː,2,63.0,445.0,-1978.75,-466.5,445.0,
ostad,oː,2,63.0,445.0,-820.5,-449.5,445.0,
ostad,uː,2,63.0,445.0,-839.5,-402.75,445.0,
ostad,yː,2,63.0,445.0,-1567.0,-396.5,445.0,
ostad,æː,2,63.0,445.0,-1785.75,-608.0,445.0,
ostad,øː,2,63.0,445.0,-1439.75,-508.5,445.0,
ostad,ɑː,2,63.0,445.0,-934.75,-580.5,445.0,
ostad,ʉ̟ː,2,63.0,445.0,-1655.25,-367.5,445.0,
ovanaker,eː,3,140.0,310.0,-1975.0,-428.0,310.0,
ovanaker,oː,3,140.0,310.0,-714.0,-467.0,310.0,
ovanaker,uː,3,140.0,310.0,-694.0,-443.0,310.0,
ovanaker,yː,3,140.0,310.0,-1814.0,-358.0,310.0,
ovanaker,æː,3,140.0,310.0,-1676.0,-601.5,310.0,
ovanaker,øː,3,140.0,310.0,-1452.5,-522.0,310.0,
