village,speaker,vowel,n_speakers,n_tokens,geo_x,geo_y,display_x,display_y
orust,,uː,3,15,49.0,436.0,-823.0,-404.5
orust,,yː,3,12,49.0,436.0,-1629.0,-410.0
orust,,æː,3,25,49.0,436.0,-1925.0,-537.5
orust,,øː,3,41,49.0,436.0,-1625.0,-495.0
orust,,ɑː,3,17,49.0,436.0,-872.0,-545.5
orust,,ʉ̟ː,3,12,49.0,436.0,-1720.0,-389.5
ossjo,,eː,3,15,74.0,515.0,-2050.0,-464.0
ossjo,,oː,3,16,74.0,515.0,-1113.0,-462.0
ossjo,,uː,3,16,74.0,515.0,-1562.0,-368.0
ossjo,,yː,3,14,74.0,515.0,-1998.0,-385.0
ossjo,,æː,3,33,74.0,515.0,-1774.5,-652.0
ossjo,,øː,3,45,74.0,515.0,-1457.5,-458.0
ossjo,,ɑː,3,21,74.0,515.0,-998.0,-533.0
ossjo,,ʉ̟ː,3,15,74.0,515.0,-1498.0,-342.0
ostad,,eː,2,8,63.0,445.0,-1992.5,-467.5
ostad,,oː,2,10,63.0,445.0,-830.0,-441.0
ostad,,uː,2,9,63.0,445.0,-885.75,-425.5
ostad,,yː,2,8,63.0,445.0,-1581.25,-405.5
ostad,,æː,2,17,63.0,445.0,-1793.25,-613.75
ostad,,øː,2,25,63.0,445.0,-1447.5,-509.5
ostad,,ɑː,2,11,63.0,445.0,-940.0,-578.0
ostad,,ʉ̟ː,2,9,63.0,445.0,-1672.0,-375.75
ovanaker,,eː,3,15,140.0,310.0,-1911.0,-432.0
ovanaker,,oː,3,15,140.0,310.0,-732.0,-461.0
ovanaker,,uː,3,15,140.0,310.0,-639.0,-379.0
ovanaker,,yː,3,15,140.0,310.0,-1782.0,-362.0
ovanaker,,æː,3,30,140.0,310.0,-1660.5,-602.0
ovanaker,,øː,3,43,140.0,310.0,-1459.0,-526.0
ovanaker,,ɑː,3,15,140.0,310.0,-852.0,-558.0
ovanaker,,ʉ̟ː,3,15,140.0,310.0,-1585.0,-375.0
oxaback,,eː,3,14,71.0,468.0,-2040.0,-468.0
oxaback,,oː,3,13,71.0,468.0,-761.5,-460.0
oxaback,,uː,3,14,71.0,468.0,-784.0,-408.0
oxaback,,yː,3,15,71.0,468.0,-2032.5,-406.0
oxaback,,æː,3,27,71.0,468.0,-1698.5,-610.5
oxaback,,øː,3,40,71.0,468.0,-1565.0,-473.5
oxaback,,ɑː,3,13,71.0,468.0,-905.0,-560.5
oxaback,,ʉ̟ː,3,13,71.0,468.0,-1438.0,-390.5
pitea,,eː,3,15,233.0,141.0,-1926.0,-475.5
pitea,,oː,3,15,233.0,141.0,-784.0,-464.0
pitea,,uː,3,15,233.0,141.0,-849.0,-427.0
pitea,,yː,3,16,233.0,141.0,-1936.5,-380.0
