village,vowel,n_speakers,geo_x,geo_y,display_x,display_y,geo_position,geographic_group
graso,yː,3,189.0,350.0,-12.8852510834,-3.8572897255800003,205.70952611928726,North
graso,æː,3,189.0,350.0,-12.866382288250001,-5.473123407645,205.70952611928726,North
graso,øː,3,189.0,350.0,-10.8066195524,-5.64072270228,205.70952611928726,North
graso,ɑː,3,189.0,350.0,-7.8389961579600005,-5.365491752745,205.70952611928726,North
graso,ʉ̟ː,3,189.0,350.0,-11.5194382022,-3.942717562145,205.70952611928726,North
hammaro,eː,3,90.0,391.0,-12.6224039279,-4.72643150123,148.3984439812024,Centre
hammaro,oː,3,90.0,391.0,-7.89385584325,-4.70873563218,148.3984439812024,Centre
hammaro,uː,3,90.0,391.0,-7.63287437899,-3.92883028499,148.3984439812024,Centre
hammaro,yː,3,90.0,391.0,-12.6525103734,-4.2751385197800005,148.3984439812024,Centre
hammaro,æː,3,90.0,391.0,-11.5731430171,-6.27706059008,148.3984439812024,Centre
hammaro,øː,3,90.0,391.0,-10.2886368028,-5.42777777778,148.3984439812024,Centre
hammaro,ɑː,3,90.0,391.0,-8.39751759456,-5.7455693535000005,148.3984439812024,Centre
hammaro,ʉ̟ː,3,90.0,391.0,-11.677325898549999,-4.34861435726,148.3984439812024,Centre
hamneda,eː,3,93.0,496.0,-12.88695785565,-4.50306489954,45.45474670393189,South
hamneda,oː,3,93.0,496.0,-8.03430555556,-4.92786672085,45.45474670393189,South
hamneda,uː,3,93.0,496.0,-8.27191226868,-4.38516666667,45.45474670393189,South
hamneda,yː,3,93.0,496.0,-12.67537748055,-3.92384811452,45.45474670393189,South
hamneda,æː,3,93.0,496.0,-12.2298395722,-5.75359375,45.45474670393189,South
hamneda,øː,3,93.0,496.0,-11.5360033286,-4.9148435976,45.45474670393189,South
hamneda,ɑː,3,93.0,496.0,-8.54540668242,-5.67309803922,45.45474670393189,South
hamneda,ʉ̟ː,3,93.0,496.0,-11.5957327742,-3.89073711121,45.45474670393189,South
haraker,eː,3,149.0,373.0,-11.959735722249999,-5.00538555889,176.21379073108554,North
haraker,oː,3,149.0,373.0,-6.97501305336,-4.36199162966,176.21379073108554,North
haraker,uː,3,149.0,373.0,-6.517204853825,-3.4748147445099997,176.21379073108554,North
haraker,yː,3,149.0,373.0,-12.5060550459,-4.07051667467,176.21379073108554,North
haraker,æː,3,149.0,373.0,-10.394941695149999,-6.5545886124349995,176.21379073108554,North
haraker,øː,3,149.0,373.0,-10.3177885784,-5.15958199357,176.21379073108554,North
haraker,ɑː,3,149.0,373.0,-7.64914438644,-5.427511802165,176.21379073108554,North
haraker,ʉ̟ː,3,149.0,373.0,-10.7011088052,-3.94782830429,176.21379073108554,North
husby,eː,1,141.0,348.0,-11.78196468445,-4.9261602529849995,199.47945013710896,North
husby,oː,1,141.0,348.0,-7.448934756145,-4.02804229787,199.47945013710896,North
husby,uː,1,141.0,348.0,-6.781549719979999,-3.1006259820200004,199.47945013710896,North
husby,yː,1,141.0,348.0,-11.81797491035,-3.37342202752,199.47945013710896,North
husby,øː,1,141.0,348.0,-10.031501169350001,-4.6998185626449995,199.47945013710896,North
husby,ʉ̟ː,1,141.0,348.0,-11.1751706265,-3.56652600387,199.47945013710896,North
